birthplace,filename,native_language,sex,country,native_language_num,target_frequency,target,target_lbl
"vitoria, brazil",portuguese7.mp3,portuguese,male,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese6.mp3,portuguese,male,brazil,138,48,20,portuguese
"lubango, angola",portuguese5.mp3,portuguese,male,angola,138,48,20,portuguese
"sao paulo, brazil",portuguese48.mp3,portuguese,male,brazil,138,48,20,portuguese
"rosario do sul, brazil",portuguese47.mp3,portuguese,female,brazil,138,48,20,portuguese
"cascais, portugal",portuguese46.mp3,portuguese,male,portugal,138,48,20,portuguese
"salvador, brazil",portuguese45.mp3,portuguese,female,brazil,138,48,20,portuguese
"rio de janeiro, brazil",portuguese44.mp3,portuguese,female,brazil,138,48,20,portuguese
"volta redonda, brazil",portuguese32.mp3,portuguese,male,brazil,138,48,20,portuguese
"coronel fabriciano, minas gerais, brazil",portuguese43.mp3,portuguese,female,brazil,138,48,20,portuguese
"mexico city, mexico",portuguese41.mp3,portuguese,male,mexico,138,48,20,portuguese
"london, england, uk",portuguese40.mp3,portuguese,male,uk,138,48,20,portuguese
"cabinda, angola",portuguese4.mp3,portuguese,male,angola,138,48,20,portuguese
"sao paulo, brazil",portuguese39.mp3,portuguese,female,brazil,138,48,20,portuguese
"rio de janeiro, brazil",portuguese38.mp3,portuguese,male,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese37.mp3,portuguese,female,brazil,138,48,20,portuguese
"uberlandia, brazil",portuguese36.mp3,portuguese,female,brazil,138,48,20,portuguese
"sao paulo, brazil",portuguese35.mp3,portuguese,female,brazil,138,48,20,portuguese
"porto alegre, brazil",portuguese34.mp3,portuguese,male,brazil,138,48,20,portuguese
"luanda, angola",portuguese42.mp3,portuguese,male,angola,138,48,20,portuguese
"saransk, russia",russian47.mp3,russian,female,russia,145,59,23,russian
"fergana, uzbekistan",russian48.mp3,russian,female,uzbekistan,145,59,23,russian
"seoul, south korea",korean23.mp3,korean,female,south korea,93,52,14,korean
"taegu, south korea",korean36.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean37.mp3,korean,female,south korea,93,52,14,korean
"inchon, south korea",korean38.mp3,korean,male,south korea,93,52,14,korean
"pusan, south korea",korean39.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean4.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean40.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean41.mp3,korean,female,south korea,93,52,14,korean
"bayside, new york, usa",korean42.mp3,korean,male,usa,93,52,14,korean
"taejon, south korea",korean43.mp3,korean,male,south korea,93,52,14,korean
"inchon, south korea",korean44.mp3,korean,male,south korea,93,52,14,korean
"ui jong bu, south korea",korean1.mp3,korean,male,south korea,93,52,14,korean
"inchon, south korea",korean45.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean47.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean48.mp3,korean,male,south korea,93,52,14,korean
"an yang, south korea",korean49.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean5.mp3,korean,female,south korea,93,52,14,korean
"taejon, south korea",korean50.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean51.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean52.mp3,korean,male,south korea,93,52,14,korean
"sunchun, south korea",korean6.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean7.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean8.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean46.mp3,korean,female,south korea,93,52,14,korean
"taejon, south korea",korean9.mp3,korean,male,south korea,93,52,14,korean
"kwangju, south korea",korean10.mp3,korean,male,south korea,93,52,14,korean
"sokcho, south korea",korean12.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean32.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean31.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean30.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean3.mp3,korean,female,south korea,93,52,14,korean
"masan, south korea",korean29.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean28.mp3,korean,female,south korea,93,52,14,korean
"haenam, south korea",korean27.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean26.mp3,korean,male,south korea,93,52,14,korean
"anseong, kyong gi, south korea",korean25.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean24.mp3,korean,male,south korea,93,52,14,korean
"seoul, south korea",korean11.mp3,korean,male,south korea,93,52,14,korean
"kwangju, south korea",korean35.mp3,korean,male,south korea,93,52,14,korean
"ulsan, south korea",korean21.mp3,korean,male,south korea,93,52,14,korean
"inchon, south korea",korean20.mp3,korean,female,south korea,93,52,14,korean
"taegu, south korea",korean2.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean19.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean18.mp3,korean,male,south korea,93,52,14,korean
"cheju-do, south korea",korean17.mp3,korean,male,south korea,93,52,14,korean
"nonsan, south korea",korean16.mp3,korean,female,south korea,93,52,14,korean
"pusan, south korea",korean15.mp3,korean,male,south korea,93,52,14,korean
"kota kinabalu, malaysia",korean14.mp3,korean,female,malaysia,93,52,14,korean
"pusan, south korea",korean13.mp3,korean,female,south korea,93,52,14,korean
"inchon, south korea",korean22.mp3,korean,female,south korea,93,52,14,korean
"seongnam, south korea",korean33.mp3,korean,female,south korea,93,52,14,korean
"seoul, south korea",korean34.mp3,korean,female,south korea,93,52,14,korean
"douala, cameroon",french56.mp3,french,female,cameroon,50,63,8,french
"kinshasa, democratic republic of congo",french30.mp3,french,male,democratic republic of congo,50,63,8,french
"paris, france",french31.mp3,french,male,france,50,63,8,french
"vichy, france",french54.mp3,french,female,france,50,63,8,french
"kabinda, democratic republic of congo",french32.mp3,french,male,democratic republic of congo,50,63,8,french
"montreal, quebec, canada",french33.mp3,french,male,canada,50,63,8,french
"abidjan, ivory coast",french34.mp3,french,male,ivory coast,50,63,8,french
"toulouse, france",french35.mp3,french,male,france,50,63,8,french
"reims, france",french36.mp3,french,female,france,50,63,8,french
"strasbourg, france",french37.mp3,french,male,france,50,63,8,french
"montreal, quebec, canada",french38.mp3,french,male,canada,50,63,8,french
"pezenas, france",french39.mp3,french,male,france,50,63,8,french
"abidjan, ivory coast",french4.mp3,french,female,ivory coast,50,63,8,french
"rouen, france",french40.mp3,french,female,france,50,63,8,french
"cannes, france",french29.mp3,french,female,france,50,63,8,french
"la massana, andorra",french41.mp3,french,male,andorra,50,63,8,french
"paris, france",french43.mp3,french,male,france,50,63,8,french
"la chaux-de-fonds, switzerland",french44.mp3,french,female,switzerland,50,63,8,french
"montreal, quebec, canada",french45.mp3,french,male,canada,50,63,8,french
"chatenay malabry, france",french46.mp3,french,male,france,50,63,8,french
"landerneau, brittany, france",french47.mp3,french,female,france,50,63,8,french
"douala, cameroon",french48.mp3,french,female,cameroon,50,63,8,french
"paris, france",french49.mp3,french,male,france,50,63,8,french
"douala, cameroon",french5.mp3,french,female,cameroon,50,63,8,french
"paris, france",french50.mp3,french,female,france,50,63,8,french
"liege, wallonia, belgium",french51.mp3,french,male,belgium,50,63,8,french
"lisbon, portugal",french52.mp3,french,female,portugal,50,63,8,french
"creteil, france",french53.mp3,french,female,france,50,63,8,french
"settat, morocco",french55.mp3,french,female,morocco,50,63,8,french
"kinshasa, democratic republic of congo",french42.mp3,french,female,democratic republic of congo,50,63,8,french
"port-au-prince, haiti",french28.mp3,french,female,haiti,50,63,8,french
"nice, france",french3.mp3,french,female,france,50,63,8,french
"montreal, quebec, canada",french26.mp3,french,female,canada,50,63,8,french
"dakar, senegal",french57.mp3,french,male,senegal,50,63,8,french
"douala, cameroon",french58.mp3,french,female,cameroon,50,63,8,french
"paris, france",french59.mp3,french,female,france,50,63,8,french
"booue, gabon",french6.mp3,french,female,gabon,50,63,8,french
"paris, france",french60.mp3,french,female,france,50,63,8,french
"rawalpindi, pakistan",french61.mp3,french,female,pakistan,50,63,8,french
"paris, france",french62.mp3,french,female,france,50,63,8,french
"ouagadougou, burkina faso",french63.mp3,french,male,burkina faso,50,63,8,french
"rimouski, quebec, canada",french7.mp3,french,male,canada,50,63,8,french
"ghent, belgium",french8.mp3,french,male,belgium,50,63,8,french
"lamentin, martinique",french9.mp3,french,male,martinique,50,63,8,french
"st. laurent d'onay, france",french1.mp3,french,female,france,50,63,8,french
"algiers, algeria",french27.mp3,french,female,algeria,50,63,8,french
"limoges, france",french11.mp3,french,male,france,50,63,8,french
"montreal, quebec, canada",french12.mp3,french,female,canada,50,63,8,french
"bordeaux, france",french10.mp3,french,male,france,50,63,8,french
"paris, france",french14.mp3,french,female,france,50,63,8,french
"st. louis fr, france",french25.mp3,french,male,france,50,63,8,french
"mostaganem, algeria",french24.mp3,french,male,algeria,50,63,8,french
"ghent, belgium",french23.mp3,french,female,belgium,50,63,8,french
"bordeaux, france",french13.mp3,french,male,france,50,63,8,french
"amiens, france",french21.mp3,french,male,france,50,63,8,french
"alma, quebec, canada",french20.mp3,french,male,canada,50,63,8,french
"ghent, belgium",french22.mp3,french,female,belgium,50,63,8,french
"grenoble, france",french19.mp3,french,male,france,50,63,8,french
"washington, dc, usa",french18.mp3,french,male,usa,50,63,8,french
"fribourg, switzerland",french17.mp3,french,male,switzerland,50,63,8,french
"montreal, quebec, canada",french16.mp3,french,female,canada,50,63,8,french
"sens, france",french15.mp3,french,male,france,50,63,8,french
"tunis, tunisia",french2.mp3,french,male,tunisia,50,63,8,french
"nantou, taiwan",mandarin13.mp3,mandarin,male,taiwan,110,65,16,mandarin
"shanxi province, shanxi, china",mandarin1.mp3,mandarin,female,china,110,65,16,mandarin
"beijing, china",mandarin10.mp3,mandarin,male,china,110,65,16,mandarin
"kao-hsiung, taiwan",mandarin11.mp3,mandarin,female,taiwan,110,65,16,mandarin
"singapore, singapore",mandarin12.mp3,mandarin,male,singapore,110,65,16,mandarin
"dalian, liaoning, china",mandarin14.mp3,mandarin,male,china,110,65,16,mandarin
"ping tong, taiwan",mandarin20.mp3,mandarin,female,taiwan,110,65,16,mandarin
"taipei, taiwan",mandarin16.mp3,mandarin,male,taiwan,110,65,16,mandarin
"jilin city, jilin, china",mandarin46.mp3,mandarin,female,china,110,65,16,mandarin
"beijing, china",mandarin47.mp3,mandarin,female,china,110,65,16,mandarin
"pingdingshan, henan, china",mandarin48.mp3,mandarin,male,china,110,65,16,mandarin
"shanghai, china",mandarin49.mp3,mandarin,male,china,110,65,16,mandarin
"beijing, china",mandarin5.mp3,mandarin,female,china,110,65,16,mandarin
"hsinchu, taiwan",mandarin50.mp3,mandarin,male,taiwan,110,65,16,mandarin
"tianjin, hebei, china",mandarin51.mp3,mandarin,male,china,110,65,16,mandarin
"shaoxing, zhejiang, china",mandarin52.mp3,mandarin,female,china,110,65,16,mandarin
"ningbo, zhejiang, china",mandarin53.mp3,mandarin,female,china,110,65,16,mandarin
"chengdu, sichuan, china",mandarin54.mp3,mandarin,female,china,110,65,16,mandarin
"loudi, hunan, china",mandarin55.mp3,mandarin,female,china,110,65,16,mandarin
"baoding, hebei, china",mandarin56.mp3,mandarin,female,china,110,65,16,mandarin
"shanghai, china",mandarin57.mp3,mandarin,male,china,110,65,16,mandarin
"superior, colorado, usa",mandarin58.mp3,mandarin,male,usa,110,65,16,mandarin
"kunming, yunnan, china",mandarin59.mp3,mandarin,female,china,110,65,16,mandarin
"le shan, sichuan, china",mandarin6.mp3,mandarin,female,china,110,65,16,mandarin
"guiyang, guizhou, china",mandarin60.mp3,mandarin,female,china,110,65,16,mandarin
"shangrao, jiangxi, china",mandarin61.mp3,mandarin,female,china,110,65,16,mandarin
"shanghai, china",mandarin62.mp3,mandarin,male,china,110,65,16,mandarin
"jiaozuo, henan, china",mandarin63.mp3,mandarin,male,china,110,65,16,mandarin
"fuzhou, fujian, china",mandarin64.mp3,mandarin,female,china,110,65,16,mandarin
"tianjin, hebei, china",mandarin65.mp3,mandarin,female,china,110,65,16,mandarin
"berkeley, california, usa",mandarin7.mp3,mandarin,male,usa,110,65,16,mandarin
"jingmen, hubei, china",mandarin8.mp3,mandarin,male,china,110,65,16,mandarin
"shanghai, china",mandarin9.mp3,mandarin,male,china,110,65,16,mandarin
"hangzhou, zhejiang, china",mandarin44.mp3,mandarin,male,china,110,65,16,mandarin
"tainan, taiwan",mandarin15.mp3,mandarin,female,taiwan,110,65,16,mandarin
"datong, shanxi, china",mandarin43.mp3,mandarin,female,china,110,65,16,mandarin
"songyuan, jilin, china",mandarin41.mp3,mandarin,female,china,110,65,16,mandarin
"wuhan, hubei, china",mandarin17.mp3,mandarin,male,china,110,65,16,mandarin
"taoyuan, taiwan",mandarin18.mp3,mandarin,female,taiwan,110,65,16,mandarin
"qinzhou, guangxi, china",mandarin19.mp3,mandarin,male,china,110,65,16,mandarin
"nanjing, china",mandarin2.mp3,mandarin,female,china,110,65,16,mandarin
"chengdu, sichuan, china",mandarin21.mp3,mandarin,female,china,110,65,16,mandarin
"haikou, hainan, china",mandarin22.mp3,mandarin,female,china,110,65,16,mandarin
"shanghai, china",mandarin24.mp3,mandarin,female,china,110,65,16,mandarin
"wuxi, jiangsu, china",mandarin25.mp3,mandarin,female,china,110,65,16,mandarin
"emei, sichuan, china",mandarin26.mp3,mandarin,female,china,110,65,16,mandarin
"chengdu, sichuan, china",mandarin27.mp3,mandarin,male,china,110,65,16,mandarin
"shanghai, china",mandarin28.mp3,mandarin,male,china,110,65,16,mandarin
"lanzhou, gansu, china",mandarin29.mp3,mandarin,male,china,110,65,16,mandarin
"jilin city, jilin, china",mandarin3.mp3,mandarin,male,china,110,65,16,mandarin
"taipei, taiwan",mandarin30.mp3,mandarin,male,taiwan,110,65,16,mandarin
"wenzhou, zhejiang, china",mandarin31.mp3,mandarin,female,china,110,65,16,mandarin
"taipei, taiwan",mandarin32.mp3,mandarin,female,taiwan,110,65,16,mandarin
"beijing, china",mandarin33.mp3,mandarin,male,china,110,65,16,mandarin
"shi jia zhuang, hebei, china",mandarin34.mp3,mandarin,female,china,110,65,16,mandarin
"yantai, shandong, china",mandarin35.mp3,mandarin,female,china,110,65,16,mandarin
"beijing, china",mandarin36.mp3,mandarin,female,china,110,65,16,mandarin
"huhot, nei meng gu, china",mandarin37.mp3,mandarin,female,china,110,65,16,mandarin
"changsha, hunan, china",mandarin38.mp3,mandarin,female,china,110,65,16,mandarin
"tie ling, liaoning, china",mandarin39.mp3,mandarin,female,china,110,65,16,mandarin
"shanghai, china",mandarin4.mp3,mandarin,female,china,110,65,16,mandarin
"chengdu, sichuan, china",mandarin40.mp3,mandarin,male,china,110,65,16,mandarin
"yanbian, jilin, china",mandarin42.mp3,mandarin,female,china,110,65,16,mandarin
"beijing, china",mandarin45.mp3,mandarin,female,china,110,65,16,mandarin
"kao-hsiung, taiwan",mandarin23.mp3,mandarin,female,taiwan,110,65,16,mandarin
"nasriah, iraq",arabic67.mp3,arabic,male,iraq,6,102,1,arabic
"abu dhabi, united arab emirates",arabic94.mp3,arabic,female,united arab emirates,6,102,1,arabic
"kuwait city, kuwait",arabic71.mp3,arabic,female,kuwait,6,102,1,arabic
"casablanca, morocco",arabic70.mp3,arabic,male,morocco,6,102,1,arabic
"casablanca, morocco",arabic7.mp3,arabic,female,morocco,6,102,1,arabic
"kerma, sudan",arabic69.mp3,arabic,female,sudan,6,102,1,arabic
"london, uk",arabic68.mp3,arabic,male,uk,6,102,1,arabic
"medina, saudi arabia",arabic66.mp3,arabic,male,saudi arabia,6,102,1,arabic
"samail, oman",arabic65.mp3,arabic,female,oman,6,102,1,arabic
"riyadh, saudi arabia",arabic64.mp3,arabic,male,saudi arabia,6,102,1,arabic
"al-ayn, united arab emirates",arabic28.mp3,arabic,male,united arab emirates,6,102,1,arabic
"baghdad, iraq",arabic93.mp3,arabic,female,iraq,6,102,1,arabic
"doha, qatar",arabic29.mp3,arabic,male,qatar,6,102,1,arabic
"riyadh, saudi arabia",arabic30.mp3,arabic,female,saudi arabia,6,102,1,arabic
"baghdad, iraq",arabic31.mp3,arabic,female,iraq,6,102,1,arabic
"baghdad, iraq",arabic32.mp3,arabic,male,iraq,6,102,1,arabic
"bani walid, libya",arabic63.mp3,arabic,female,libya,6,102,1,arabic
"ad dammam, saudi arabia",arabic62.mp3,arabic,male,saudi arabia,6,102,1,arabic
"manama, bahrain",arabic61.mp3,arabic,male,bahrain,6,102,1,arabic
"kuwait city, kuwait",arabic95.mp3,arabic,female,kuwait,6,102,1,arabic
"sharjah, united arab emirates",arabic97.mp3,arabic,female,united arab emirates,6,102,1,arabic
"cairo, egypt",arabic60.mp3,arabic,male,egypt,6,102,1,arabic
"sanaa, yemen",arabic6.mp3,arabic,male,yemen,6,102,1,arabic
"doha, qatar",arabic3.mp3,arabic,male,qatar,6,102,1,arabic
"irbid, jordan",arabic59.mp3,arabic,male,jordan,6,102,1,arabic
"baghdad, iraq",arabic92.mp3,arabic,male,iraq,6,102,1,arabic
"tripoli, libya",arabic90.mp3,arabic,female,libya,6,102,1,arabic
"alexandria, egypt",arabic74.mp3,arabic,male,egypt,6,102,1,arabic
"riyadh, saudi arabia",arabic75.mp3,arabic,female,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic76.mp3,arabic,male,saudi arabia,6,102,1,arabic
"ad dammam, saudi arabia",arabic77.mp3,arabic,female,saudi arabia,6,102,1,arabic
"washington, district of columbia, usa",arabic78.mp3,arabic,female,usa,6,102,1,arabic
"medina, saudi arabia",arabic79.mp3,arabic,female,saudi arabia,6,102,1,arabic
"casablanca, morocco",arabic8.mp3,arabic,male,morocco,6,102,1,arabic
"nazareth, israel",arabic73.mp3,arabic,female,israel,6,102,1,arabic
"baghdad, iraq",arabic72.mp3,arabic,female,iraq,6,102,1,arabic
"najran, saudi arabia",arabic80.mp3,arabic,male,saudi arabia,6,102,1,arabic
"riyadh, saudi arabia",arabic91.mp3,arabic,female,saudi arabia,6,102,1,arabic
"riyadh, saudi arabia",arabic81.mp3,arabic,male,saudi arabia,6,102,1,arabic
"riyadh, saudi arabia",arabic83.mp3,arabic,male,saudi arabia,6,102,1,arabic
"amman, jordan",arabic26.mp3,arabic,female,jordan,6,102,1,arabic
"jerusalem, israel",arabic27.mp3,arabic,male,israel,6,102,1,arabic
"medina, saudi arabia",arabic84.mp3,arabic,female,saudi arabia,6,102,1,arabic
"ad dammam, saudi arabia",arabic85.mp3,arabic,female,saudi arabia,6,102,1,arabic
"cairo, egypt",arabic86.mp3,arabic,male,egypt,6,102,1,arabic
"kuwait city, kuwait",arabic87.mp3,arabic,female,kuwait,6,102,1,arabic
"beirut, lebanon",arabic88.mp3,arabic,female,lebanon,6,102,1,arabic
"baghdad, iraq",arabic89.mp3,arabic,female,iraq,6,102,1,arabic
"jerusalem, israel",arabic9.mp3,arabic,female,israel,6,102,1,arabic
"damascus, syria",arabic82.mp3,arabic,male,syria,6,102,1,arabic
"baghdad, iraq",arabic58.mp3,arabic,male,iraq,6,102,1,arabic
"riyadh, saudi arabia",arabic96.mp3,arabic,male,saudi arabia,6,102,1,arabic
"baghdad, iraq",arabic33.mp3,arabic,female,iraq,6,102,1,arabic
"cairo, egypt",arabic24.mp3,arabic,male,egypt,6,102,1,arabic
"al mahalla, egypt",arabic23.mp3,arabic,male,egypt,6,102,1,arabic
"abu dhabi, united arab emirates",arabic22.mp3,arabic,female,united arab emirates,6,102,1,arabic
"beirut, lebanon",arabic57.mp3,arabic,female,lebanon,6,102,1,arabic
"fort collins, colorado, usa",arabic45.mp3,arabic,female,usa,6,102,1,arabic
"beirut, lebanon",arabic21.mp3,arabic,female,lebanon,6,102,1,arabic
"chtaura, beqa valley, lebanon",arabic20.mp3,arabic,male,lebanon,6,102,1,arabic
"damascus, syria",arabic2.mp3,arabic,male,syria,6,102,1,arabic
"khouribga, morocco",arabic19.mp3,arabic,male,morocco,6,102,1,arabic
"kuwait city, kuwait",arabic18.mp3,arabic,male,kuwait,6,102,1,arabic
"settat, morocco",arabic17.mp3,arabic,male,morocco,6,102,1,arabic
"meknes, morocco",arabic16.mp3,arabic,male,morocco,6,102,1,arabic
"qayrawan, tunisia",arabic15.mp3,arabic,male,tunisia,6,102,1,arabic
"amman, jordan",arabic14.mp3,arabic,male,jordan,6,102,1,arabic
"zabbougha, lebanon",arabic13.mp3,arabic,male,lebanon,6,102,1,arabic
"beirut, lebanon",arabic55.mp3,arabic,male,lebanon,6,102,1,arabic
"baghdad, iraq",arabic54.mp3,arabic,male,iraq,6,102,1,arabic
"jiddah, saudi arabia",arabic44.mp3,arabic,female,saudi arabia,6,102,1,arabic
"rabat, morocco",arabic53.mp3,arabic,male,morocco,6,102,1,arabic
"jiddah, saudi arabia",arabic42.mp3,arabic,male,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic52.mp3,arabic,female,saudi arabia,6,102,1,arabic
"ramun, israel (occupied territory)",arabic25.mp3,arabic,male,israel (occupied territory),6,102,1,arabic
"beirut, lebanon",arabic100.mp3,arabic,female,lebanon,6,102,1,arabic
"jiddah, saudi arabia",arabic46.mp3,arabic,male,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic47.mp3,arabic,male,saudi arabia,6,102,1,arabic
"ras al khaimah, united arab emirates",arabic98.mp3,arabic,female,united arab emirates,6,102,1,arabic
"ad dammam, saudi arabia",arabic99.mp3,arabic,female,saudi arabia,6,102,1,arabic
"kuwait city, kuwait",arabic34.mp3,arabic,female,kuwait,6,102,1,arabic
"medina, saudi arabia",arabic49.mp3,arabic,male,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic35.mp3,arabic,male,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic36.mp3,arabic,male,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic37.mp3,arabic,male,saudi arabia,6,102,1,arabic
"shady grove, maryland, usa",arabic38.mp3,arabic,female,usa,6,102,1,arabic
"jiddah, saudi arabia",arabic39.mp3,arabic,male,saudi arabia,6,102,1,arabic
"sharjah, united arab emirates",arabic4.mp3,arabic,male,united arab emirates,6,102,1,arabic
"jiddah, saudi arabia",arabic51.mp3,arabic,male,saudi arabia,6,102,1,arabic
"jiddah, saudi arabia",arabic40.mp3,arabic,male,saudi arabia,6,102,1,arabic
"ain defla, algeria",arabic56.mp3,arabic,male,algeria,6,102,1,arabic
"baghdad, iraq",arabic12.mp3,arabic,male,iraq,6,102,1,arabic
"monastir, tunisia",arabic11.mp3,arabic,female,tunisia,6,102,1,arabic
"jiddah, saudi arabia",arabic102.mp3,arabic,male,saudi arabia,6,102,1,arabic
"doha, qatar",arabic101.mp3,arabic,male,qatar,6,102,1,arabic
"casablanca, morocco",arabic5.mp3,arabic,female,morocco,6,102,1,arabic
"jiddah, saudi arabia",arabic50.mp3,arabic,male,saudi arabia,6,102,1,arabic
"riyadh, saudi arabia",arabic1.mp3,arabic,female,saudi arabia,6,102,1,arabic
"cairo, egypt",arabic10.mp3,arabic,male,egypt,6,102,1,arabic
"mecca, saudi arabia",arabic48.mp3,arabic,male,saudi arabia,6,102,1,arabic
"riyadh, saudi arabia",arabic41.mp3,arabic,male,saudi arabia,6,102,1,arabic
"beirut, lebanon",arabic43.mp3,arabic,female,lebanon,6,102,1,arabic
"bogota, colombia",spanish97.mp3,spanish,female,colombia,164,166,26,spanish
"veracruz, mexico",spanish98.mp3,spanish,male,mexico,164,166,26,spanish
"arequipa, peru",spanish96.mp3,spanish,female,peru,164,166,26,spanish
"juarez, mexico",spanish95.mp3,spanish,female,mexico,164,166,26,spanish
"bogota, colombia",spanish94.mp3,spanish,male,colombia,164,166,26,spanish
"santa rosa, honduras",spanish93.mp3,spanish,female,honduras,164,166,26,spanish
"cardenas, cuba",spanish92.mp3,spanish,male,cuba,164,166,26,spanish
"caracas, venezuela",spanish91.mp3,spanish,female,venezuela,164,166,26,spanish
"caracas, venezuela",spanish90.mp3,spanish,female,venezuela,164,166,26,spanish
"toluca, mexico",spanish122.mp3,spanish,female,mexico,164,166,26,spanish
"lima, peru",spanish99.mp3,spanish,female,peru,164,166,26,spanish
"pasaquina, el salvador",spanish121.mp3,spanish,male,el salvador,164,166,26,spanish
"san miguel, el salvador",spanish28.mp3,spanish,female,el salvador,164,166,26,spanish
"oviedo, spain",spanish12.mp3,spanish,male,spain,164,166,26,spanish
"araure, venezuela",spanish9.mp3,spanish,male,venezuela,164,166,26,spanish
"caracas, venezuela",spanish1.mp3,spanish,male,venezuela,164,166,26,spanish
"san luis de la reina, el salvador",spanish10.mp3,spanish,male,el salvador,164,166,26,spanish
"iquitos, peru",spanish100.mp3,spanish,female,peru,164,166,26,spanish
"la union, el salvador",spanish101.mp3,spanish,female,el salvador,164,166,26,spanish
"san miguel, el salvador",spanish103.mp3,spanish,male,el salvador,164,166,26,spanish
"san miguel, el salvador",spanish104.mp3,spanish,female,el salvador,164,166,26,spanish
"jerez de la frontera, spain",spanish105.mp3,spanish,female,spain,164,166,26,spanish
"lima, peru",spanish106.mp3,spanish,male,peru,164,166,26,spanish
"san salvador, el salvador",spanish107.mp3,spanish,male,el salvador,164,166,26,spanish
"medellin, colombia",spanish108.mp3,spanish,male,colombia,164,166,26,spanish
"maracay, venezuela",spanish109.mp3,spanish,male,venezuela,164,166,26,spanish
"lima, peru",spanish11.mp3,spanish,female,peru,164,166,26,spanish
"caracas, venezuela",spanish110.mp3,spanish,male,venezuela,164,166,26,spanish
"santiago, chile",spanish111.mp3,spanish,male,chile,164,166,26,spanish
"la paz, bolivia",spanish112.mp3,spanish,male,bolivia,164,166,26,spanish
"cochabamba, bolivia",spanish113.mp3,spanish,male,bolivia,164,166,26,spanish
"seville, spain",spanish114.mp3,spanish,female,spain,164,166,26,spanish
"la paz, bolivia",spanish115.mp3,spanish,female,bolivia,164,166,26,spanish
"bogota, colombia",spanish116.mp3,spanish,male,colombia,164,166,26,spanish
"madrid, spain",spanish117.mp3,spanish,male,spain,164,166,26,spanish
"monterrey, mexico",spanish118.mp3,spanish,female,mexico,164,166,26,spanish
"madrid, spain",spanish119.mp3,spanish,female,spain,164,166,26,spanish
"bogota, colombia",spanish120.mp3,spanish,female,colombia,164,166,26,spanish
"monterrey, mexico",spanish89.mp3,spanish,male,mexico,164,166,26,spanish
"cochabamba, bolivia",spanish102.mp3,spanish,male,bolivia,164,166,26,spanish
"la paz, bolivia",spanish87.mp3,spanish,male,bolivia,164,166,26,spanish
"mexico city, mexico",spanish162.mp3,spanish,male,mexico,164,166,26,spanish
"leon, nicaragua",spanish161.mp3,spanish,female,nicaragua,164,166,26,spanish
"bogota, colombia",spanish160.mp3,spanish,male,colombia,164,166,26,spanish
"buenos aires, argentina",spanish16.mp3,spanish,male,argentina,164,166,26,spanish
"san salvador, el salvador",spanish159.mp3,spanish,male,el salvador,164,166,26,spanish
"santurce, puerto rico",spanish158.mp3,spanish,female,puerto rico,164,166,26,spanish
"mexico city, mexico",spanish157.mp3,spanish,female,mexico,164,166,26,spanish
"montevideo, uruguay",spanish156.mp3,spanish,female,uruguay,164,166,26,spanish
"lima, peru",spanish155.mp3,spanish,male,peru,164,166,26,spanish
"bogota, colombia",spanish42.mp3,spanish,female,colombia,164,166,26,spanish
"bogota, colombia",spanish153.mp3,spanish,male,colombia,164,166,26,spanish
"barcelona, spain",spanish152.mp3,spanish,male,spain,164,166,26,spanish
"bilwas karma, rio coco, nicaragua",spanish151.mp3,spanish,female,nicaragua,164,166,26,spanish
"bilwi, puerto cabezas, nicaragua",spanish150.mp3,spanish,male,nicaragua,164,166,26,spanish
"san juan, puerto rico",spanish15.mp3,spanish,male,puerto rico,164,166,26,spanish
